
                    input              45               INPUT_PARAMETERS        Not a number               FUNCTION_SEQ        NO           INPUT_PARAMETERS
                      int              45                        INTEGER        Not a number           INPUT_PARAMETERS        NO                    INTEGER
                       b7              45                             ID        Not a number                    INTEGER       YES                 Leaf node 
                   output              46              OUTPUT_PARAMETERS        Not a number               FUNCTION_SEQ        NO          OUTPUT_PARAMETERS
                   #marks              46                RECORD_OR_UNION        Not a number          OUTPUT_PARAMETERS        NO            RECORD_OR_UNION
                    b3c45              46                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                   ------               0               TYPE_DEFINITIONS        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                   ------               0                   DECLARATIONS        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                     read              47                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45              47                             ID        Not a number                     IOREAD        NO                         ID
                    maths              47                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     read              48                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45              48                             ID        Not a number                     IOREAD        NO                         ID
                  physics              48                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     read              49                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45              49                             ID        Not a number                     IOREAD        NO                         ID
                chemistry              49                        FIELDID        Not a number                         ID       YES                 Leaf node 
               _readMarks              45                   FUNCTION_SEQ        Not a number                    PROGRAM        NO               FUNCTION_SEQ
                   return              50                         RETURN        Not a number               FUNCTION_SEQ        NO                     RETURN
                    b3c45              50                             ID        Not a number                     RETURN       YES                 Leaf node 
                   ------               1                        PROGRAM        Not a number                      ROOT         NO                    PROGRAM
                     real              59                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                    maths              59                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                     real              60                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                  physics              60                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                   record              58                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                     real              61                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                chemistry              61                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                   #marks              65                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                       d4              65                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                      int              68                        INTEGER        Not a number                    PROGRAM        NO                    INTEGER
                       b5              68                             ID        Not a number                    INTEGER       YES                 Leaf node 
                      int              69                        INTEGER        Not a number                    PROGRAM        NO                    INTEGER
                d5cb34567              69                             ID        Not a number                    INTEGER       YES                 Leaf node 
                   #marks              70                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                     b5c6              70                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                       b5              73                             ID        Not a number                   ASSIGNOP       YES                 Leaf node 
                     <---              73                       ASSIGNOP        Not a number                    PROGRAM        NO                   ASSIGNOP
                        1              73                            NUM                    1                  ASSIGNOP       YES                 Leaf node 
                     read              74                         IOREAD        Not a number                    PROGRAM        NO                     IOREAD
                d5cb34567              74                             ID        Not a number                     IOREAD       YES                 Leaf node 
                     b5c6              75                             ID        Not a number                   ASSIGNOP        NO                         ID
                    maths              75                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     <---              75                       ASSIGNOP        Not a number                    PROGRAM        NO                   ASSIGNOP
                     0.00              75                           RNUM                 0.00                  ASSIGNOP       YES                 Leaf node 
