
                    input              65               INPUT_PARAMETERS        Not a number               FUNCTION_SEQ        NO           INPUT_PARAMETERS
                      int              65                        INTEGER        Not a number           INPUT_PARAMETERS        NO                    INTEGER
                       b7              65                             ID        Not a number                    INTEGER       YES                 Leaf node 
                   output              66              OUTPUT_PARAMETERS        Not a number               FUNCTION_SEQ        NO          OUTPUT_PARAMETERS
                   #marks              66                RECORD_OR_UNION        Not a number          OUTPUT_PARAMETERS        NO            RECORD_OR_UNION
                    b3c45              66                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                   ------               0               TYPE_DEFINITIONS        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                   ------               0                   DECLARATIONS        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                     read              67                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45              67                             ID        Not a number                     IOREAD        NO                         ID
                    maths              67                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     read              68                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45              68                             ID        Not a number                     IOREAD        NO                         ID
                  physics              68                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     read              69                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45              69                             ID        Not a number                     IOREAD        NO                         ID
                chemistry              69                        FIELDID        Not a number                         ID       YES                 Leaf node 
               _readMarks              65                   FUNCTION_SEQ        Not a number                    PROGRAM        NO               FUNCTION_SEQ
                   return              70                         RETURN        Not a number               FUNCTION_SEQ        NO                     RETURN
                    b3c45              70                             ID        Not a number                     RETURN       YES                 Leaf node 
                   ------               1                        PROGRAM        Not a number                      ROOT         NO                    PROGRAM
                     real              79                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                    maths              79                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                     real              80                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                  physics              80                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                   #marks              78                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                     real              81                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                chemistry              81                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                      int              86                        INTEGER        Not a number            RECORD_OR_UNION        NO                    INTEGER
                   phyics              86                        FIELDID        Not a number                    INTEGER       YES                 Leaf node 
                   #marks              85                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                     real              87                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                     mths              87                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                   #marks              90                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                       d4              90                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                      int              93                        INTEGER        Not a number                    PROGRAM        NO                    INTEGER
                       b5              93                             ID        Not a number                    INTEGER       YES                 Leaf node 
                      int              94                        INTEGER        Not a number                    PROGRAM        NO                    INTEGER
                d5cb34567              94                             ID        Not a number                    INTEGER       YES                 Leaf node 
                   #marks              95                RECORD_OR_UNION        Not a number                    PROGRAM        NO            RECORD_OR_UNION
                     b5c6              95                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                       b5              98                             ID        Not a number                   ASSIGNOP       YES                 Leaf node 
                     <---              98                       ASSIGNOP        Not a number                    PROGRAM        NO                   ASSIGNOP
                        1              98                            NUM                    1                  ASSIGNOP       YES                 Leaf node 
                     read              99                         IOREAD        Not a number                    PROGRAM        NO                     IOREAD
                d5cb34567              99                             ID        Not a number                     IOREAD       YES                 Leaf node 
                     b5c6             100                             ID        Not a number                   ASSIGNOP        NO                         ID
                    maths             100                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     <---             100                       ASSIGNOP        Not a number                    PROGRAM        NO                   ASSIGNOP
                     0.00             100                           RNUM                 0.00                  ASSIGNOP       YES                 Leaf node 
                     b5c6             101                             ID        Not a number                   ASSIGNOP        NO                         ID
                  physics             101                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     <---             101                       ASSIGNOP        Not a number                    PROGRAM        NO                   ASSIGNOP
