
                    input               1               INPUT_PARAMETERS        Not a number               FUNCTION_SEQ        NO           INPUT_PARAMETERS
                      int               1                        INTEGER        Not a number           INPUT_PARAMETERS        NO                    INTEGER
                       b7               1                             ID        Not a number                    INTEGER       YES                 Leaf node 
                   ------               0               TYPE_DEFINITIONS        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                   ------               0                   DECLARATIONS        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                     read               2                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45               2                             ID        Not a number                     IOREAD        NO                         ID
                    maths               2                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     read               3                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45               3                             ID        Not a number                     IOREAD        NO                         ID
                  physics               3                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     read               4                         IOREAD        Not a number               FUNCTION_SEQ        NO                     IOREAD
                    b3c45               4                             ID        Not a number                     IOREAD        NO                         ID
                chemistry               4                        FIELDID        Not a number                         ID       YES                 Leaf node 
               _readMarks               1                   FUNCTION_SEQ        Not a number                    PROGRAM        NO               FUNCTION_SEQ
                   return               5                         RETURN        Not a number               FUNCTION_SEQ       YES                 Leaf node 
                   ------               1                        PROGRAM        Not a number                      ROOT         NO                    PROGRAM
                     real              14                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                    maths              14                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                     real              15                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                  physics              15                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                   #marks              13                RECORD_OR_UNION        Not a number              MAIN_FUNCTION        NO            RECORD_OR_UNION
                     real              16                           REAL        Not a number            RECORD_OR_UNION        NO                       REAL
                chemistry              16                        FIELDID        Not a number                       REAL       YES                 Leaf node 
                   #marks              20                RECORD_OR_UNION        Not a number              MAIN_FUNCTION        NO            RECORD_OR_UNION
                       d4              20                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                      int              23                        INTEGER        Not a number              MAIN_FUNCTION        NO                    INTEGER
                       b5              23                             ID        Not a number                    INTEGER       YES                 Leaf node 
                      int              24                        INTEGER        Not a number              MAIN_FUNCTION        NO                    INTEGER
                d5cb34567              24                             ID        Not a number                    INTEGER       YES                 Leaf node 
                   #marks              25                RECORD_OR_UNION        Not a number              MAIN_FUNCTION        NO            RECORD_OR_UNION
                     b5c6              25                             ID        Not a number            RECORD_OR_UNION       YES                 Leaf node 
                       b5              28                             ID        Not a number                   ASSIGNOP       YES                 Leaf node 
                     <---              28                       ASSIGNOP        Not a number              MAIN_FUNCTION        NO                   ASSIGNOP
                        1              28                            NUM                    1                  ASSIGNOP       YES                 Leaf node 
                     read              29                         IOREAD        Not a number              MAIN_FUNCTION        NO                     IOREAD
                d5cb34567              29                             ID        Not a number                     IOREAD       YES                 Leaf node 
                     b5c6              30                             ID        Not a number                   ASSIGNOP        NO                         ID
                    maths              30                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     <---              30                       ASSIGNOP        Not a number              MAIN_FUNCTION        NO                   ASSIGNOP
                     0.00              30                           RNUM                 0.00                  ASSIGNOP       YES                 Leaf node 
                     b5c6              31                             ID        Not a number                   ASSIGNOP        NO                         ID
                  physics              31                        FIELDID        Not a number                         ID       YES                 Leaf node 
